user_id,data_provenance,as_of_date,signup_date,focus_area,account_age_days,days_since_last_session,sessions_7d,sessions_30d,pulse_checkins_7d,pulse_checkins_30d,weekly_active_days,avg_session_minutes,content_diversity_30d,consultations_90d,days_since_last_consultation,briefs_started_30d,referrals_created_90d,feedback_helpful_rate,signup_completed,onboarding_completed,pulse_completed,brief_created,consultation_booked,repeat_consultation_90d,invites_created,invites_opened,invites_completed,retained_d1,retained_d7,retained_d30,future_30d_churn,future_14d_consultation
SYN-00405,synthetic_demo,2026-01-05,2025-01-18,career,352,20,0,1,0,0,0,4.47,3,0,180,0,0,0.7859,1,1,0,0,0,0,0,0,0,0,0,0,1,1
SYN-00430,synthetic_demo,2026-01-05,2025-01-12,career,358,0,2,5,0,3,2,3.79,2,0,180,2,0,0.5408,1,1,1,1,1,0,0,0,0,0,0,0,0,0
SYN-00867,synthetic_demo,2026-01-05,2025-09-21,education,106,7,0,3,0,0,0,4.65,0,0,180,0,0,0.5691,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SYN-00981,synthetic_demo,2026-01-05,2025-10-05,finance,92,0,2,5,0,4,2,9.8,1,0,180,0,1,0.5326,1,1,1,0,0,0,1,0,0,0,0,0,0,0
SYN-01215,synthetic_demo,2026-01-05,2024-11-06,relationship,425,30,0,0,0,0,0,1.79,0,0,180,0,0,0.8023,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-01317,synthetic_demo,2026-01-05,2025-01-24,relationship,346,7,0,2,0,2,0,7.43,1,0,180,1,0,0.7837,1,1,1,1,0,0,0,0,0,1,0,0,0,0
SYN-01375,synthetic_demo,2026-01-05,2024-09-20,career,472,29,0,5,0,4,0,1.9,1,0,180,0,0,0.3334,1,1,1,0,0,0,0,0,0,1,0,0,1,0
SYN-01404,synthetic_demo,2026-01-05,2025-01-07,career,363,7,0,3,0,2,0,9.26,5,1,39,1,0,0.8488,1,1,1,1,0,0,0,0,0,0,0,0,0,1
SYN-01578,synthetic_demo,2026-01-05,2025-08-09,finance,149,1,1,7,1,4,1,4.72,4,1,54,1,1,0.3538,1,1,1,1,0,0,1,1,1,1,1,1,0,0
SYN-01685,synthetic_demo,2026-01-05,2025-04-08,relationship,272,21,0,4,0,2,0,2.96,1,0,180,0,0,0.5193,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-01753,synthetic_demo,2026-01-05,2024-09-03,career,489,8,0,4,0,2,0,3.75,2,0,180,0,0,0.407,1,1,1,0,0,0,0,0,0,1,0,0,0,0
SYN-01948,synthetic_demo,2026-01-05,2024-11-19,family,412,30,0,0,0,0,0,2.22,0,0,180,0,0,0.7804,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-00003,synthetic_demo,2026-01-06,2025-07-09,relationship,181,7,0,4,0,1,0,4.92,3,0,180,0,0,0.6816,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-00158,synthetic_demo,2026-01-06,2025-11-15,education,52,18,0,7,0,2,0,5.77,1,0,180,2,0,0.474,1,1,1,1,0,0,0,0,0,1,1,0,0,0
SYN-00391,synthetic_demo,2026-01-06,2024-12-23,career,379,6,1,2,0,2,1,5.53,3,0,180,0,0,0.7686,1,1,1,0,0,0,0,0,0,1,0,0,1,0
SYN-00463,synthetic_demo,2026-01-06,2025-12-06,relationship,31,6,2,5,2,3,2,10.23,2,0,180,0,0,0.8933,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-00492,synthetic_demo,2026-01-06,2025-01-16,education,355,2,1,4,0,2,1,1.0,2,0,180,0,0,0.4225,1,1,1,0,0,0,0,0,0,1,1,1,0,0
SYN-00503,synthetic_demo,2026-01-06,2025-11-25,finance,42,2,4,7,3,4,4,5.08,3,0,180,0,0,0.6395,1,1,1,0,0,0,0,0,0,1,0,0,0,1
SYN-00710,synthetic_demo,2026-01-06,2025-04-11,career,270,6,4,6,1,1,3,7.37,2,0,180,1,0,0.7159,1,1,1,1,1,0,0,0,0,1,0,0,0,1
SYN-00832,synthetic_demo,2026-01-06,2024-12-27,relationship,375,3,1,4,0,3,1,6.84,4,0,180,0,1,0.9017,1,1,1,0,0,0,1,1,1,0,0,0,0,0
SYN-01332,synthetic_demo,2026-01-06,2024-10-14,relationship,449,6,2,3,1,2,2,4.23,2,0,180,0,0,0.6596,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-02263,synthetic_demo,2026-01-06,2025-09-23,finance,105,7,0,2,0,1,0,4.0,1,0,180,0,0,0.8988,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-02318,synthetic_demo,2026-01-06,2024-11-15,personal_growth,417,9,0,3,0,2,0,5.28,3,0,180,0,0,0.6188,1,1,1,0,0,0,0,0,0,0,0,0,0,1
SYN-00221,synthetic_demo,2026-01-07,2025-09-04,career,125,30,0,0,0,0,0,3.81,0,0,180,0,0,0.8123,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-00232,synthetic_demo,2026-01-07,2024-10-04,relationship,460,7,0,2,0,2,0,10.77,3,0,180,0,0,0.7911,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-00336,synthetic_demo,2026-01-07,2025-10-10,career,89,6,2,2,0,0,1,9.02,2,0,180,0,1,0.651,1,1,0,0,0,0,1,1,1,1,1,1,1,0
SYN-00349,synthetic_demo,2026-01-07,2025-06-13,career,208,2,1,3,1,2,1,6.94,4,0,180,1,0,0.5206,1,1,1,1,1,0,0,0,0,1,1,1,1,0
SYN-00762,synthetic_demo,2026-01-07,2025-01-01,finance,371,7,0,2,0,2,0,7.17,4,0,180,0,0,0.9064,1,1,1,0,0,0,0,0,0,1,0,0,0,0
SYN-00927,synthetic_demo,2026-01-07,2025-08-05,career,155,2,3,6,3,4,0,3.55,2,0,180,0,1,0.455,1,1,1,0,0,0,1,1,0,0,0,0,1,0
SYN-01105,synthetic_demo,2026-01-07,2025-10-11,career,88,22,0,2,0,1,0,4.04,3,0,180,1,0,0.7518,1,1,1,1,1,0,0,0,0,1,0,0,1,0
SYN-01164,synthetic_demo,2026-01-07,2025-07-18,family,173,29,0,1,0,0,0,5.9,0,0,180,0,1,0.7208,1,0,0,0,0,0,1,1,1,1,1,0,0,0
SYN-01281,synthetic_demo,2026-01-07,2025-11-07,career,61,6,1,3,0,0,1,4.05,2,0,180,0,0,0.4315,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SYN-01430,synthetic_demo,2026-01-07,2025-09-08,personal_growth,121,5,3,4,1,4,3,4.42,4,0,180,1,1,0.6629,1,1,1,1,0,0,1,1,0,0,0,0,0,0
SYN-01435,synthetic_demo,2026-01-07,2025-05-29,career,223,7,0,1,0,1,0,2.34,3,0,180,0,1,0.4509,1,1,1,0,0,0,1,0,0,0,0,0,1,0
SYN-01890,synthetic_demo,2026-01-07,2024-10-08,family,456,7,0,1,0,0,0,1.0,2,0,180,0,0,0.4827,1,1,0,0,0,0,0,0,0,1,1,0,0,0
SYN-02056,synthetic_demo,2026-01-07,2025-05-01,education,251,22,0,6,0,1,0,6.73,0,0,180,1,0,0.9393,1,1,1,1,1,0,0,0,0,0,0,0,1,0
SYN-02083,synthetic_demo,2026-01-07,2025-06-18,relationship,203,6,1,1,0,0,1,8.11,3,1,48,0,2,0.7197,1,1,0,0,0,0,2,1,1,1,0,0,1,0
SYN-02203,synthetic_demo,2026-01-07,2025-04-15,relationship,267,29,0,3,0,2,0,7.21,2,0,180,0,1,0.8968,1,1,1,0,0,0,1,1,0,1,1,0,1,0
SYN-02237,synthetic_demo,2026-01-07,2025-02-08,career,333,13,0,3,0,0,0,4.5,2,1,6,0,0,0.6659,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-02272,synthetic_demo,2026-01-07,2025-02-01,personal_growth,340,7,0,2,0,1,0,3.14,1,1,6,0,1,0.5269,1,1,1,0,0,0,1,0,0,1,0,0,0,0
SYN-00103,synthetic_demo,2026-01-08,2025-04-08,career,275,16,0,1,0,1,0,3.25,2,0,180,0,0,0.8312,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-00111,synthetic_demo,2026-01-08,2025-07-22,finance,170,10,0,3,0,1,0,2.64,3,1,22,0,0,0.8543,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-00159,synthetic_demo,2026-01-08,2025-11-02,career,67,11,0,2,0,1,0,7.5,2,2,4,0,0,0.5074,1,1,1,0,0,1,0,0,0,1,1,0,0,0
SYN-00331,synthetic_demo,2026-01-08,2025-10-12,personal_growth,88,3,2,6,0,2,2,5.08,2,0,180,0,0,0.5477,1,1,1,0,0,0,0,0,0,1,0,0,1,0
SYN-00808,synthetic_demo,2026-01-08,2024-08-11,education,515,6,2,6,0,3,2,5.51,1,0,180,1,0,0.6994,1,1,1,1,1,0,0,0,0,1,0,0,1,0
SYN-00893,synthetic_demo,2026-01-08,2025-02-15,personal_growth,327,7,0,5,0,1,0,6.1,0,2,13,1,0,0.806,1,1,1,1,0,1,0,0,0,1,0,0,0,1
SYN-00899,synthetic_demo,2026-01-08,2025-01-01,career,372,7,0,1,0,1,0,5.96,2,1,5,1,0,0.8619,1,1,1,1,0,0,0,0,0,1,1,0,1,0
SYN-01101,synthetic_demo,2026-01-08,2024-08-18,personal_growth,508,6,1,4,1,4,0,5.27,3,1,7,0,1,0.7657,1,1,1,0,0,0,1,1,0,1,1,0,0,0
SYN-01103,synthetic_demo,2026-01-08,2024-08-20,finance,506,7,0,3,0,1,0,1.06,1,0,180,0,0,0.5599,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-01171,synthetic_demo,2026-01-08,2025-11-09,personal_growth,60,27,0,2,0,2,0,1.0,0,0,180,0,0,0.7837,1,1,1,0,0,0,0,0,0,1,1,1,1,0
SYN-00119,synthetic_demo,2026-01-09,2025-01-15,family,359,29,0,1,0,1,0,6.46,1,0,180,0,0,0.5684,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-00513,synthetic_demo,2026-01-09,2025-03-07,personal_growth,308,29,0,2,0,2,0,5.34,2,0,180,0,0,0.5173,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-00613,synthetic_demo,2026-01-09,2025-02-16,family,327,6,1,5,1,5,1,10.2,1,0,180,0,0,0.6646,1,1,1,0,0,0,0,0,0,1,1,0,1,0
SYN-00783,synthetic_demo,2026-01-09,2025-04-16,personal_growth,268,1,3,5,0,2,0,4.25,1,0,180,1,0,0.5127,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SYN-01077,synthetic_demo,2026-01-09,2025-03-07,career,308,16,0,2,0,1,0,1.62,3,1,13,0,0,0.5533,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-01209,synthetic_demo,2026-01-09,2025-11-23,personal_growth,47,0,3,9,2,8,3,6.73,4,0,180,0,1,0.6079,1,1,1,0,0,0,1,0,0,1,1,1,1,0
SYN-01700,synthetic_demo,2026-01-09,2024-10-05,career,461,7,0,3,0,2,0,4.18,3,0,180,0,1,0.9169,1,1,1,0,0,0,1,1,0,0,0,0,0,0
SYN-01926,synthetic_demo,2026-01-09,2025-03-06,personal_growth,309,6,2,6,0,1,2,6.27,3,1,16,3,1,0.5512,1,1,1,1,1,0,1,0,0,1,0,0,1,1
SYN-00293,synthetic_demo,2026-01-10,2024-12-14,finance,392,28,0,1,0,0,0,4.62,4,0,180,0,1,0.8464,1,1,0,0,0,0,1,1,0,1,0,0,1,0
SYN-00332,synthetic_demo,2026-01-10,2024-08-19,family,509,3,3,9,1,6,3,8.11,2,1,9,1,1,0.8512,1,1,1,1,1,0,1,0,0,0,0,0,1,1
SYN-00542,synthetic_demo,2026-01-10,2025-02-14,career,330,29,0,1,0,1,0,6.19,1,0,180,0,0,0.6956,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-02326,synthetic_demo,2026-01-10,2025-02-01,personal_growth,343,1,1,2,1,1,1,4.28,3,0,180,2,0,0.8174,1,1,1,1,1,0,0,0,0,1,0,0,1,0
SYN-00305,synthetic_demo,2026-01-11,2025-08-11,career,153,17,0,5,0,2,0,6.79,3,0,180,0,0,0.7305,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-00515,synthetic_demo,2026-01-11,2025-08-09,relationship,155,0,6,12,6,10,4,6.86,2,1,33,1,0,0.5402,1,1,1,1,0,0,0,0,0,1,1,0,0,1
SYN-00620,synthetic_demo,2026-01-11,2025-11-09,finance,63,15,0,3,0,1,0,9.09,4,0,180,0,0,0.7721,1,1,1,0,0,0,0,0,0,0,0,0,0,1
SYN-00768,synthetic_demo,2026-01-11,2024-09-21,finance,477,6,1,3,1,1,1,4.41,3,0,180,0,0,0.4661,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-00865,synthetic_demo,2026-01-11,2025-07-08,personal_growth,187,6,1,3,1,1,1,4.68,1,2,44,0,1,0.464,1,1,1,0,0,1,1,1,1,0,0,0,0,0
SYN-00971,synthetic_demo,2026-01-11,2025-10-19,career,84,7,0,4,0,0,0,7.28,3,0,180,0,1,0.9016,1,1,0,0,0,0,1,0,0,0,0,0,0,1
SYN-01137,synthetic_demo,2026-01-11,2025-02-11,finance,334,30,0,0,0,0,0,1.0,0,1,45,0,0,0.81,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-01538,synthetic_demo,2026-01-11,2025-11-28,career,44,29,0,2,0,1,0,4.85,3,0,180,0,0,0.788,1,1,1,0,0,0,0,0,0,1,1,1,1,1
SYN-01650,synthetic_demo,2026-01-11,2025-01-02,relationship,374,6,3,5,1,2,3,5.42,1,0,180,0,0,0.7276,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-01809,synthetic_demo,2026-01-11,2024-11-15,career,422,15,0,2,0,0,0,3.04,2,0,180,0,0,0.5985,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SYN-01928,synthetic_demo,2026-01-11,2025-10-05,personal_growth,98,7,0,1,0,0,0,7.8,3,0,180,0,1,0.5884,1,1,0,0,0,0,1,0,0,0,0,0,1,0
SYN-00633,synthetic_demo,2026-01-12,2025-08-23,career,142,7,0,5,0,2,0,7.08,2,0,180,0,0,0.5605,1,1,1,0,0,0,0,0,0,0,0,0,0,1
SYN-00810,synthetic_demo,2026-01-12,2025-10-02,career,102,1,1,6,1,4,1,9.65,2,0,180,0,0,0.7597,1,1,1,0,0,0,0,0,0,0,0,0,0,1
SYN-00857,synthetic_demo,2026-01-12,2025-08-08,relationship,157,1,2,7,1,2,1,6.15,3,1,77,0,0,0.9518,1,1,1,0,0,0,0,0,0,1,0,0,0,0
SYN-01240,synthetic_demo,2026-01-12,2025-05-15,education,242,7,0,2,0,0,0,6.73,4,0,180,0,1,0.7831,1,0,0,0,0,0,1,1,1,0,0,0,1,0
SYN-01670,synthetic_demo,2026-01-12,2025-09-07,family,127,6,3,4,0,1,1,5.65,3,0,180,0,0,0.2794,1,1,1,0,0,0,0,0,0,1,0,0,1,0
SYN-01785,synthetic_demo,2026-01-12,2025-04-28,career,259,29,0,2,0,0,0,4.28,2,1,50,0,0,0.6493,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-01849,synthetic_demo,2026-01-12,2024-09-04,finance,495,30,0,0,0,0,0,4.61,0,0,180,0,0,0.8867,1,1,0,0,0,0,0,0,0,1,0,0,1,0
SYN-02066,synthetic_demo,2026-01-12,2025-08-11,finance,154,6,1,3,1,3,0,1.78,2,0,180,0,0,0.6691,1,1,1,0,0,0,0,0,0,0,0,0,0,1
SYN-02102,synthetic_demo,2026-01-12,2025-02-04,career,342,6,1,7,1,2,1,4.92,3,1,11,1,0,0.3346,1,1,1,1,1,0,0,0,0,0,0,0,0,0
SYN-02168,synthetic_demo,2026-01-12,2025-05-12,career,245,22,0,3,0,1,0,4.44,2,0,180,1,0,0.6902,1,1,1,1,0,0,0,0,0,1,0,0,1,0
SYN-02200,synthetic_demo,2026-01-12,2025-12-12,family,31,9,0,4,0,1,0,6.45,3,0,180,0,0,0.5939,1,1,1,0,0,0,0,0,0,0,0,0,1,1
SYN-02244,synthetic_demo,2026-01-12,2025-11-04,personal_growth,69,8,0,6,0,0,0,3.01,2,0,180,0,0,0.872,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-00134,synthetic_demo,2026-01-13,2024-10-29,family,441,13,0,1,0,0,0,7.33,3,0,180,0,0,0.7886,1,0,0,0,0,0,0,0,0,1,0,0,1,0
SYN-00165,synthetic_demo,2026-01-13,2025-05-25,finance,233,20,0,1,0,0,0,8.44,2,0,180,0,0,0.4656,1,1,0,0,0,0,0,0,0,1,0,0,0,0
SYN-00301,synthetic_demo,2026-01-13,2025-09-14,career,121,2,1,3,0,1,1,8.12,3,1,25,0,0,0.5225,1,1,1,0,0,0,0,0,0,1,1,0,0,1
SYN-00543,synthetic_demo,2026-01-13,2025-06-14,personal_growth,213,7,0,2,0,2,0,7.67,3,0,180,0,0,0.9521,1,1,1,0,0,0,0,0,0,0,0,0,1,1
SYN-00856,synthetic_demo,2026-01-13,2025-03-03,career,316,6,2,6,1,3,1,1.0,2,1,5,3,0,0.7942,1,1,1,1,1,0,0,0,0,1,0,0,1,1
SYN-01010,synthetic_demo,2026-01-13,2024-09-08,finance,492,1,1,7,0,1,1,6.07,0,0,180,1,1,0.599,1,1,1,1,0,0,1,0,0,1,1,1,1,0
SYN-01156,synthetic_demo,2026-01-13,2024-08-03,relationship,528,6,2,7,2,4,2,11.98,4,0,180,0,1,0.7467,1,1,1,0,0,0,1,1,1,0,0,0,0,0
SYN-01517,synthetic_demo,2026-01-13,2025-07-13,education,184,4,2,5,1,3,2,5.28,2,0,180,2,1,0.9629,1,1,1,1,1,0,1,1,0,1,1,0,0,1
SYN-01582,synthetic_demo,2026-01-13,2024-12-28,relationship,381,0,10,13,8,10,6,9.41,3,1,66,2,1,0.8285,1,1,1,1,1,0,1,0,0,1,0,0,0,1
SYN-01672,synthetic_demo,2026-01-13,2025-06-12,relationship,215,3,1,7,1,3,1,2.92,3,0,180,0,0,0.6033,1,1,1,0,0,0,0,0,0,0,0,0,1,0
SYN-01801,synthetic_demo,2026-01-13,2024-09-12,personal_growth,488,7,0,2,0,1,0,3.36,1,0,180,0,0,0.8363,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-02170,synthetic_demo,2026-01-13,2024-12-27,relationship,382,6,1,3,0,1,0,5.62,3,0,180,0,0,0.3961,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-02339,synthetic_demo,2026-01-13,2025-06-16,career,211,12,0,2,0,2,0,10.4,3,0,180,0,1,0.6981,1,1,1,0,0,0,1,0,0,0,0,0,1,0
SYN-00521,synthetic_demo,2026-01-14,2025-02-22,relationship,326,7,0,5,0,2,0,5.7,3,0,180,0,0,0.6955,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-00539,synthetic_demo,2026-01-14,2025-06-21,family,207,18,0,2,0,1,0,2.29,4,0,180,0,1,0.8038,1,1,1,0,0,0,1,0,0,0,0,0,1,0
SYN-00593,synthetic_demo,2026-01-14,2024-08-25,personal_growth,507,5,1,4,0,2,1,4.39,3,0,180,1,0,0.4657,1,1,1,1,0,0,0,0,0,1,1,0,0,0
SYN-00789,synthetic_demo,2026-01-14,2025-08-02,finance,165,6,2,5,1,4,2,5.59,4,0,180,0,0,0.6787,1,1,1,0,0,0,0,0,0,1,1,0,0,0
SYN-01047,synthetic_demo,2026-01-14,2025-04-01,career,288,7,0,2,0,1,0,4.05,1,0,180,0,1,0.3756,1,1,1,0,0,0,1,1,0,0,0,0,0,0
SYN-01288,synthetic_demo,2026-01-14,2025-11-28,family,47,15,0,3,0,0,0,4.3,2,0,180,0,0,0.8673,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-01381,synthetic_demo,2026-01-14,2024-09-25,career,476,7,0,1,0,0,0,3.15,3,1,48,0,0,0.7172,1,1,0,0,0,0,0,0,0,0,0,0,1,1
SYN-01593,synthetic_demo,2026-01-14,2024-10-07,education,464,10,0,3,0,1,0,7.1,4,1,63,0,0,0.6517,1,1,1,0,0,0,0,0,0,1,0,0,0,1
